dstport,protocol,tag
771,AGGFRAG,sv_98
166,IPv6-Opts,sv_85
540,SWIPE (deprecated),sv_47
658,SDRP,sv_84
302,DCCP,sv_92
941,MFE-NSP,sv_68
10,CBT,sv_36
642,SCPS,sv_89
282,IL,sv_31
414,MPLS-in-IP,sv_53
407,SKIP,sv_65
464,SMP,sv_16
879,SNP,sv_29
1019,HMP,sv_77
778,EIGRP,sv_61
805,DDP,sv_83
548,NARP,sv_43
943,ROHC,sv_27
688,PGM,sv_75
836,IDRP,sv_13
64,RSVP-E2E-IGNORE,sv_4
857,BNA,sv_61
343,Mobility Header,sv_49
535,IPv6-Opts,sv_37
98,STP,sv_16
328,LEAF-1,sv_92
356,IL,sv_33
435,BIT-EMU,sv_47
244,IPX-in-IP,sv_96
73,NVP-II,sv_83
396,IPv4,sv_56
809,SSCOPMCE,sv_98
719,BNA,sv_51
203,NVP-II,sv_22
880,NETBLT,sv_52
277,GRE,sv_71
937,L2TP,sv_69
617,GGP,sv_51
826,ARIS,sv_69
847,ISO-TP4,sv_86
192,VRRP,sv_80
949,RVD,sv_69
218,FC,sv_10
707,IPv6-ICMP,sv_59
843,VISA,sv_57
11,SDRP,sv_79
6,SM (deprecated),sv_67
366,DDX,sv_64
35,SNP,sv_40
706,UDPLite,sv_61
652,IPv6-NoNxt,sv_12
917,,sv_22
736,BNA,sv_64
332,SUN-ND,sv_81
445,manet,sv_3
991,CRTP,sv_36
339,AX.25,sv_53
342,ENCAP,sv_36
15,RVD,sv_89
946,Sprite-RPC,sv_77
813,IDPR,sv_53
69,CFTP,sv_54
381,IPv6,sv_90
264,,sv_18
751,AGGFRAG,sv_36
110,NSFNET-IGP,sv_94
522,,sv_18
432,TCF,sv_14
886,VINES,sv_18
364,GGP,sv_27
765,,sv_55
679,UDPLite,sv_83
712,IATP,sv_32
825,,sv_17
272,PGM,sv_29
95,TCF,sv_3
518,ETHERIP,sv_45
970,MICP (deprecated),sv_23
477,DDP,sv_52
761,RDP,sv_78
596,,sv_95
162,TRUNK-2,sv_95
46,BR-SAT-MON,sv_81
987,TCF,sv_99
737,3PC,sv_81
233,TRUNK-2,sv_88
809,ISIS over IPv4,sv_12
182,IPIP,sv_91
395,ICMP,sv_42
410,IPComp,sv_6
29,HOPOPT,sv_60
818,MPLS-in-IP,sv_26
386,SAT-MON,sv_78
1012,ICMP,sv_99
927,FIRE,sv_39
760,EIGRP,sv_20
145,AGGFRAG,sv_66
814,ARGUS (deprecated),sv_52
75,XNS-IDP,sv_14
552,CRUDP,sv_92
465,PRM,sv_88
794,DGP,sv_6
177,SNP,sv_88
1002,manet,sv_71
195,VRRP,sv_51
597,SRP,sv_46
982,SDRP,sv_74
191,IATP,sv_21
745,SDRP,sv_18
898,IRTP,sv_89
744,SNP,sv_1
1006,LEAF-1,sv_75
630,TP++,sv_42
801,GMTP,sv_6
578,UDPLite,sv_60
17,MFE-NSP,sv_10
271,3PC,sv_81
616,RDP,sv_2
45,I-NLSP,sv_52
640,IPv6,sv_35
861,FC,sv_99
304,ROHC,sv_97
621,MFE-NSP,sv_61
60,,sv_23
479,manet,sv_11
555,SECURE-VMTP,sv_51
248,CBT,sv_39
898,TCP,sv_48
31,NARP,sv_92
225,STP,sv_31
228,A/N,sv_89
200,TP++,sv_46
713,IPv6,sv_80
663,AX.25,sv_52
54,SM (deprecated),sv_35
638,BIT-EMU,sv_27
4,,sv_1
972,ARGUS (deprecated),sv_56
715,NARP,sv_7
215,ISO-IP,sv_20
221,GRE,sv_42
77,Ethernet,sv_2
1022,SWIPE (deprecated),sv_44
114,IPv6-NoNxt,sv_80
197,3PC,sv_48
86,DDX,sv_79
515,ISIS over IPv4,sv_1
520,DCN-MEAS,sv_27
491,HIP,sv_31
936,RVD,sv_68
129,ESP,sv_59
984,IPComp,sv_18
742,SCPS,sv_35
834,IATP,sv_73
47,IPX-in-IP,sv_91
672,L2TP,sv_95
728,MFE-NSP,sv_9
309,STP,sv_85
743,ESP,sv_71
162,RSVP-E2E-IGNORE,sv_98
91,KRYPTOLAN,sv_98
288,TRUNK-1,sv_2
323,IPv6-Opts,sv_15
513,XNS-IDP,sv_81
214,IATP,sv_37
426,,sv_6
151,IPIP,sv_28
806,Homa,sv_14
312,SWIPE (deprecated),sv_12
936,IPv6-NoNxt,sv_26
468,WSN,sv_18
558,IPLT,sv_86
431,HMP,sv_83
550,CRTP,sv_19
970,IPv6,sv_21
752,HOPOPT,sv_55
178,HMP,sv_73
13,CHAOS,sv_38
21,NETBLT,sv_56
723,BNA,sv_18
678,IPv6-Opts,sv_86
548,A/N,sv_17
519,TRUNK-2,sv_37
846,SCC-SP,sv_54
640,SNP,sv_40
773,IPv4,sv_62
389,Min-IPv4,sv_25
658,AX.25,sv_44
477,IGMP,sv_53
603,AX.25,sv_47
390,PUP,sv_87
556,IPv6-Opts,sv_44
626,KRYPTOLAN,sv_27
2,RDP,sv_10
529,ISO-TP4,sv_56
633,ICMP,sv_6
378,Ethernet,sv_87
321,L2TP,sv_58
12,EMCON,sv_83
902,,sv_66
91,IDRP,sv_97
10,SKIP,sv_39
859,NSFNET-IGP,sv_87
323,IGMP,sv_18
459,CRUDP,sv_49
571,SMP,sv_64
716,RSVP,sv_31
579,SCPS,sv_99
869,ENCAP,sv_48
852,MTP,sv_72
665,KRYPTOLAN,sv_57
585,A/N,sv_7
842,SECURE-VMTP,sv_96
575,,sv_65
783,PVP,sv_15
916,KRYPTOLAN,sv_6
987,AGGFRAG,sv_12
795,DDP,sv_76
962,SSCOPMCE,sv_49
459,UTI,sv_31
336,OSPFIGP,sv_18
283,FIRE,sv_48
18,Shim6,sv_25
764,CBT,sv_35
188,IGP,sv_56
523,,sv_64
106,GMTP,sv_67
774,BBN-RCC-MON,sv_52
326,IGMP,sv_59
627,DDX,sv_98
90,CRTP,sv_17
997,SWIPE (deprecated),sv_54
191,SCTP,sv_21
789,RSVP-E2E-IGNORE,sv_8
42,TRUNK-1,sv_83
188,NVP-II,sv_93
460,CFTP,sv_12
135,CRUDP,sv_61
249,LARP,sv_26
895,SECURE-VMTP,sv_11
778,RVD,sv_94
982,ICMP,sv_63
753,CPHB,sv_83
396,,sv_43
569,CPHB,sv_18
655,AX.25,sv_91
874,BIT-EMU,sv_58
746,,sv_43
473,OSPFIGP,sv_66
365,DCCP,sv_98
659,SRP,sv_30
495,PRM,sv_67
340,manet,sv_34
887,PRM,sv_22
544,ETHERIP,sv_6
982,TCF,sv_14
216,VRRP,sv_86
124,IPv6-NoNxt,sv_3
343,RSVP,sv_25
9,HOPOPT,sv_77
109,LEAF-2,sv_78
476,SUN-ND,sv_77
297,SPS,sv_50
1001,SSCOPMCE,sv_75
598,IPv6-NoNxt,sv_4
561,TCP,sv_55
988,SWIPE (deprecated),sv_61
646,PIPE,sv_76
207,,sv_45
129,MFE-NSP,sv_2
422,SUN-ND,sv_12
669,TP++,sv_18
164,SWIPE (deprecated),sv_83
677,GMTP,sv_21
181,,sv_5
703,UDPLite,sv_75
772,IPLT,sv_72
410,BR-SAT-MON,sv_1
758,CHAOS,sv_47
323,SAT-EXPAK,sv_63
963,STP,sv_40
19,GGP,sv_49
924,WB-EXPAK,sv_96
761,GRE,sv_47
480,VRRP,sv_30
426,TRUNK-2,sv_30
410,CHAOS,sv_48
858,SDRP,sv_14
852,DCN-MEAS,sv_82
632,BNA,sv_62
498,HMP,sv_29
8,QNX,sv_56
952,IPCV,sv_10
353,SWIPE (deprecated),sv_63
222,SDRP,sv_89
506,IPv6,sv_51
898,,sv_20
145,CFTP,sv_43
216,EIGRP,sv_10
15,ARIS,sv_45
943,OSPFIGP,sv_96
361,ISO-TP4,sv_70
460,Min-IPv4,sv_6
85,SAT-MON,sv_54
387,SUN-ND,sv_33
95,GMTP,sv_4
955,PNNI,sv_1
111,VINES,sv_56
554,IPv6-NoNxt,sv_99
402,manet,sv_19
1015,SSCOPMCE,sv_71
525,VMTP,sv_96
172,DDP,sv_5
209,XNET,sv_81
527,,sv_58
464,ESP,sv_60
159,NSFNET-IGP,sv_72
636,STP,sv_40
850,AGGFRAG,sv_36
995,LARP,sv_92
45,IPLT,sv_61
430,AGGFRAG,sv_45
971,ETHERIP,sv_20
455,SUN-ND,sv_34
816,,sv_16
90,manet,sv_32
579,manet,sv_56
735,ARIS,sv_41
810,VINES,sv_83
662,SDRP,sv_17
208,RSVP,sv_85
305,SMP,sv_66
541,SUN-ND,sv_97
647,ISO-IP,sv_57
88,PIPE,sv_24
776,UDPLite,sv_43
208,CBT,sv_66
269,LARP,sv_19
922,BBN-RCC-MON,sv_99
507,ISO-IP,sv_14
164,DCCP,sv_87
332,TCP,sv_34
1020,AH,sv_79
467,XNET,sv_27
208,RDP,sv_79
625,ETHERIP,sv_11
859,AH,sv_23
513,WB-MON,sv_43
966,CRUDP,sv_65
278,OSPFIGP,sv_56
518,FC,sv_97
819,CHAOS,sv_26
462,CHAOS,sv_59
371,Ethernet,sv_60
807,IPv6-ICMP,sv_95
171,IDPR-CMTP,sv_84
822,FC,sv_18
491,CPHB,sv_28
291,WB-EXPAK,sv_7
865,NSFNET-IGP,sv_68
187,A/N,sv_38
963,GMTP,sv_54
393,manet,sv_39
895,SCTP,sv_30
160,3PC,sv_7
37,HMP,sv_18
259,DSR,sv_20
87,TLSP,sv_26
211,GGP,sv_75
463,TRUNK-1,sv_19
962,ETHERIP,sv_39
510,IPComp,sv_39
605,HMP,sv_60
729,HOPOPT,sv_18
708,IGP,sv_79
267,ETHERIP,sv_53
598,EIGRP,sv_96
105,CPHB,sv_92
281,QNX,sv_86
584,Homa,sv_44
637,XNS-IDP,sv_7
605,ISO-TP4,sv_10
368,Shim6,sv_67
805,IPv6-ICMP,sv_70
902,XNS-IDP,sv_89
80,STP,sv_31
192,Min-IPv4,sv_23
470,SAT-MON,sv_70
755,TCP,sv_66
550,IPv6-Frag,sv_70
1003,CBT,sv_67
683,I-NLSP,sv_77
331,I-NLSP,sv_7
979,DDP,sv_36
427,Mobility Header,sv_89
100,ICMP,sv_9
825,ESP,sv_16
7,IGP,sv_85
765,NSFNET-IGP,sv_92
133,ISIS over IPv4,sv_8
635,TLSP,sv_53
450,,sv_30
309,GGP,sv_97
514,IDRP,sv_13
111,IPPC,sv_64
197,VMTP,sv_95
68,DDX,sv_87
374,TCP,sv_71
815,ISO-IP,sv_68
623,TCF,sv_93
155,HMP,sv_81
839,IDPR-CMTP,sv_86
909,OSPFIGP,sv_38
64,IPv4,sv_19
375,VRRP,sv_87
215,A/N,sv_75
693,BNA,sv_33
521,BR-SAT-MON,sv_73
368,XTP,sv_51
538,,sv_97
58,GRE,sv_62
868,,sv_16
123,CFTP,sv_71
257,,sv_8
749,PIM,sv_44
561,HMP,sv_5
898,TLSP,sv_62
95,PTP,sv_54
763,Reserved,sv_1
736,SKIP,sv_63
794,ICMP,sv_96
809,Min-IPv4,sv_58
230,SPS,sv_61
699,TRUNK-2,sv_14
163,IPIP,sv_55
596,DCN-MEAS,sv_89
674,NSFNET-IGP,sv_30
824,LARP,sv_60
827,IL,sv_77
968,HMP,sv_61
855,TCF,sv_2
183,IPLT,sv_59
41,SNP,sv_72
81,IFMP,sv_73
234,IPComp,sv_19
167,,sv_15
297,IPIP,sv_62
517,SPS,sv_65
924,ST,sv_59
39,CHAOS,sv_32
723,BNA,sv_65
268,EMCON,sv_9
76,VISA,sv_38
63,IDPR-CMTP,sv_22
761,,sv_27
541,SM (deprecated),sv_67
756,MFE-NSP,sv_7
315,Reserved,sv_67
268,MFE-NSP,sv_50
361,SECURE-VMTP,sv_19
599,CBT,sv_23
723,VRRP,sv_33
166,Shim6,sv_55
994,SRP,sv_79
135,IGMP,sv_49
267,PRM,sv_47
356,TCF,sv_17
132,OSPFIGP,sv_60
818,IPv6,sv_45
394,IRTP,sv_96
540,Sprite-RPC,sv_97
330,3PC,sv_11
890,PNNI,sv_61
918,PGM,sv_20
20,IDPR,sv_49
264,,sv_79
246,VMTP,sv_31
399,MPLS-in-IP,sv_70
541,Homa,sv_87
842,Homa,sv_66
78,CPHB,sv_26
182,SCPS,sv_96
36,UTI,sv_43
748,BIT-EMU,sv_46
559,SM (deprecated),sv_37
773,MFE-NSP,sv_65
191,IPv4,sv_73
858,XNS-IDP,sv_26
114,FIRE,sv_21
302,SCTP,sv_25
579,IPv6-Frag,sv_24
468,UTI,sv_94
265,PIM,sv_48
1023,Homa,sv_57
856,,sv_60
668,IPv6-NoNxt,sv_72
632,MERIT-INP,sv_66
506,IDRP,sv_18
256,IDPR,sv_51
705,HOPOPT,sv_88
9,IFMP,sv_79
627,Ethernet,sv_49
22,,sv_77
475,SCC-SP,sv_90
78,ARGUS (deprecated),sv_6
413,FIRE,sv_41
126,IDRP,sv_60
504,CFTP,sv_41
895,IPCV,sv_75
400,SWIPE (deprecated),sv_10
467,RSVP,sv_68
330,,sv_65
293,UTI,sv_26
1003,EGP,sv_72
362,SPS,sv_44
369,ENCAP,sv_66
80,BBN-RCC-MON,sv_4
938,SDRP,sv_6
929,SM (deprecated),sv_88
91,EIGRP,sv_74
60,LARP,sv_18
668,SAT-MON,sv_62
439,SM (deprecated),sv_96
221,manet,sv_41
859,PUP,sv_72
1008,CPHB,sv_57
924,CPNX,sv_97
732,EMCON,sv_93
373,UDPLite,sv_14
690,,sv_23
615,GRE,sv_24
60,ICMP,sv_49
955,CRUDP,sv_78
184,WESP,sv_57
575,IPv6-Opts,sv_86
260,SPS,sv_54
98,IGMP,sv_60
93,OSPFIGP,sv_35
291,,sv_54
165,NVP-II,sv_25
34,BBN-RCC-MON,sv_42
958,HOPOPT,sv_3
758,IL,sv_32
806,ICMP,sv_20
822,IRTP,sv_57
649,WB-EXPAK,sv_92
229,IDPR,sv_78
349,MERIT-INP,sv_54
858,IPCV,sv_84
635,DGP,sv_18
796,SMP,sv_82
518,AH,sv_82
909,UDPLite,sv_48
907,KRYPTOLAN,sv_40
216,SCTP,sv_80
386,HMP,sv_7
354,IPv6-Frag,sv_45
410,IPv6,sv_17
607,PRM,sv_42
369,VMTP,sv_38
986,,sv_77
703,,sv_97
406,IPX-in-IP,sv_3
222,MTP,sv_29
688,IPCV,sv_48
721,IPv4,sv_31
503,GGP,sv_25
634,A/N,sv_49
261,BNA,sv_10
1016,A/N,sv_27
40,RSVP-E2E-IGNORE,sv_78
665,ROHC,sv_46
618,UDPLite,sv_81
73,LEAF-1,sv_5
746,PVP,sv_11
929,NETBLT,sv_5
416,GMTP,sv_16
258,SWIPE (deprecated),sv_39
837,CRTP,sv_21
708,TCF,sv_10
757,,sv_45
298,KRYPTOLAN,sv_63
116,STP,sv_55
533,DDP,sv_95
780,NSFNET-IGP,sv_29
556,ENCAP,sv_25
714,Compaq-Peer,sv_4
5,AGGFRAG,sv_91
309,IPv6-Opts,sv_90
373,Compaq-Peer,sv_25
772,DCCP,sv_41
95,TRUNK-2,sv_33
340,STP,sv_5
110,PIPE,sv_37
192,EIGRP,sv_2
389,TP++,sv_62
127,CHAOS,sv_47
291,TP++,sv_12
722,XTP,sv_73
99,,sv_20
77,SMP,sv_77
865,PGM,sv_67
84,NARP,sv_84
579,OSPFIGP,sv_98
499,NETBLT,sv_40
293,CHAOS,sv_58
418,IPCV,sv_79
115,RSVP,sv_78
624,DGP,sv_69
9,IPX-in-IP,sv_34
658,PTP,sv_8
854,ICMP,sv_62
198,SMP,sv_93
504,UDPLite,sv_89
848,TCF,sv_97
218,GGP,sv_55
926,BNA,sv_42
689,NETBLT,sv_65
276,ESP,sv_21
205,SPS,sv_63
595,IPv6-Frag,sv_69
352,NETBLT,sv_54
355,ARIS,sv_12
465,SCC-SP,sv_75
139,HOPOPT,sv_29
290,IFMP,sv_63
529,VISA,sv_52
694,IPIP,sv_3
363,LARP,sv_56
712,IPComp,sv_87
750,MPLS-in-IP,sv_76
448,EMCON,sv_72
834,DCCP,sv_96
783,A/N,sv_97
401,HOPOPT,sv_46
960,DDP,sv_68
823,UDP,sv_4
915,BR-SAT-MON,sv_88
296,MTP,sv_94
888,MTP,sv_33
386,IPv6-Frag,sv_3
980,XNS-IDP,sv_47
530,PIM,sv_5
85,LEAF-1,sv_78
595,GRE,sv_37
15,SM (deprecated),sv_98
732,XTP,sv_58
100,SDRP,sv_14
343,WESP,sv_52
1014,VINES,sv_44
752,HMP,sv_17
588,WB-EXPAK,sv_66
382,FIRE,sv_93
830,DCCP,sv_48
361,ISIS over IPv4,sv_49
861,IPv6-NoNxt,sv_49
163,IPv6-Frag,sv_47
487,Reserved,sv_47
975,PNNI,sv_20
370,SUN-ND,sv_50
103,NSFNET-IGP,sv_61
766,TRUNK-2,sv_61
879,NSH,sv_74
1,CFTP,sv_47
638,SECURE-VMTP,sv_67
896,WESP,sv_31
555,ETHERIP,sv_9
399,MERIT-INP,sv_90
951,LEAF-1,sv_44
150,IPLT,sv_93
555,CHAOS,sv_73
368,PNNI,sv_69
697,CPNX,sv_25
352,ST,sv_94
742,ARGUS (deprecated),sv_5
774,,sv_28
39,SMP,sv_97
806,PUP,sv_3
85,ISO-IP,sv_46
865,PIPE,sv_21
897,VISA,sv_34
627,WB-MON,sv_57
438,SUN-ND,sv_51
450,IPTM,sv_78
453,TLSP,sv_15
1,WSN,sv_56
331,IPComp,sv_75
496,IDPR-CMTP,sv_53
212,PNNI,sv_49
141,SNP,sv_2
547,L2TP,sv_40
508,BR-SAT-MON,sv_5
96,TP++,sv_65
2,,sv_54
271,SCTP,sv_94
768,IRTP,sv_60
967,BBN-RCC-MON,sv_65
737,,sv_13
899,LEAF-1,sv_87
530,IPComp,sv_21
718,Homa,sv_16
820,RVD,sv_35
463,IPComp,sv_72
438,SWIPE (deprecated),sv_14
716,STP,sv_95
292,BBN-RCC-MON,sv_69
561,RSVP-E2E-IGNORE,sv_37
889,NSH,sv_12
495,IDPR,sv_13
733,PGM,sv_67
421,ETHERIP,sv_59
866,PGM,sv_80
250,CPHB,sv_62
101,,sv_59
867,MPLS-in-IP,sv_67
287,ISIS over IPv4,sv_92
389,SAT-MON,sv_46
673,SECURE-VMTP,sv_64
745,HOPOPT,sv_46
653,RDP,sv_94
286,Sprite-RPC,sv_9
536,LEAF-2,sv_27
134,Compaq-Peer,sv_8
66,ICMP,sv_59
202,KRYPTOLAN,sv_82
722,IPIP,sv_49
746,VINES,sv_81
991,EGP,sv_87
658,,sv_13
51,IDRP,sv_14
252,BNA,sv_52
104,IPv6-Opts,sv_59
308,Reserved,sv_9
841,XNS-IDP,sv_56
826,IPv6,sv_50
991,IATP,sv_22
37,FC,sv_5
734,BBN-RCC-MON,sv_97
165,CRUDP,sv_76
797,KRYPTOLAN,sv_15
894,PUP,sv_80
135,GGP,sv_75
833,IPv6-NoNxt,sv_43
881,CFTP,sv_25
665,SCTP,sv_45
689,HMP,sv_72
1005,SNP,sv_44
436,RSVP,sv_42
642,IL,sv_52
831,SAT-MON,sv_27
398,ISO-IP,sv_94
736,,sv_55
709,IPv6-Frag,sv_52
599,IPv6-ICMP,sv_30
191,IPv6-ICMP,sv_98
825,IDPR-CMTP,sv_67
781,KRYPTOLAN,sv_81
85,IPv6-Route,sv_70
253,MFE-NSP,sv_39
514,CFTP,sv_39
693,WSN,sv_36
807,UTI,sv_34
568,RDP,sv_78
376,NVP-II,sv_57
506,ST,sv_9
1005,,sv_97
688,IPTM,sv_14
731,QNX,sv_97
17,ICMP,sv_46
834,SAT-EXPAK,sv_23
897,3PC,sv_56
411,RDP,sv_20
332,Ethernet,sv_27
862,SM (deprecated),sv_51
245,TCF,sv_7
736,PVP,sv_7
431,RSVP-E2E-IGNORE,sv_70
300,IPv6-Route,sv_94
417,DGP,sv_18
398,HIP,sv_20
670,Homa,sv_54
290,UDPLite,sv_52
592,A/N,sv_95
938,A/N,sv_32
285,PIM,sv_94
866,ST,sv_93
435,TP++,sv_62
45,VRRP,sv_2
164,IPv6-Route,sv_25
444,MUX,sv_76
715,IPComp,sv_45
433,BIT-EMU,sv_55
714,DCCP,sv_47
811,LEAF-2,sv_48
957,,sv_51
351,IPv6-Opts,sv_60
396,DCN-MEAS,sv_87
740,PVP,sv_39
261,PRM,sv_53
94,,sv_64
423,,sv_15
704,VINES,sv_28
378,ISO-TP4,sv_96
648,UDPLite,sv_8
41,IFMP,sv_72
1015,NSFNET-IGP,sv_63
461,PGM,sv_4
441,TP++,sv_90
918,MTP,sv_35
207,CRUDP,sv_30
725,PUP,sv_45
964,Reserved,sv_81
457,IRTP,sv_49
909,IGMP,sv_97
205,IPv6-Opts,sv_40
276,IPv6-Frag,sv_57
467,IPv6-Route,sv_51
14,,sv_19
458,MUX,sv_3
260,IPX-in-IP,sv_99
757,SSCOPMCE,sv_47
168,SM (deprecated),sv_46
512,FC,sv_59
623,ETHERIP,sv_90
39,SNP,sv_87
377,PIM,sv_14
477,AH,sv_41
494,MPLS-in-IP,sv_33
756,Homa,sv_52
211,TRUNK-1,sv_69
21,Reserved,sv_18
622,MPLS-in-IP,sv_61
491,GGP,sv_67
70,Compaq-Peer,sv_93
923,CRTP,sv_57
78,TRUNK-1,sv_17
668,IPv4,sv_78
828,ICMP,sv_68
9,IRTP,sv_93
803,NETBLT,sv_49
245,HMP,sv_1
252,NVP-II,sv_62
351,DSR,sv_74
11,NETBLT,sv_48
496,ENCAP,sv_49
42,HIP,sv_52
433,BNA,sv_77
335,IPv6-Frag,sv_21
1014,TRUNK-1,sv_89
881,,sv_34
64,I-NLSP,sv_38
124,DGP,sv_9
216,ROHC,sv_7
604,IPX-in-IP,sv_96
744,CRUDP,sv_48
673,,sv_61
904,IPPC,sv_70
148,IATP,sv_41
344,AGGFRAG,sv_97
922,IL,sv_79
70,LEAF-1,sv_46
367,PGM,sv_55
513,TLSP,sv_38
27,Min-IPv4,sv_55
438,IPComp,sv_30
463,CRTP,sv_61
148,SRP,sv_24
1023,ARGUS (deprecated),sv_78
148,XTP,sv_82
189,TRUNK-2,sv_45
624,SCPS,sv_88
869,GMTP,sv_23
112,VMTP,sv_8
827,SAT-MON,sv_98
918,ARIS,sv_56
543,MFE-NSP,sv_18
120,EIGRP,sv_83
157,,sv_25
521,,sv_61
938,I-NLSP,sv_74
963,AH,sv_23
17,IL,sv_41
515,Ethernet,sv_66
946,STP,sv_75
773,ETHERIP,sv_61
366,DCN-MEAS,sv_30
74,,sv_50
151,MUX,sv_36
28,LEAF-2,sv_68
424,3PC,sv_21
202,NVP-II,sv_72
238,VRRP,sv_85
952,BNA,sv_47
319,RSVP-E2E-IGNORE,sv_67
734,IPv6-NoNxt,sv_18
237,PTP,sv_52
995,BIT-EMU,sv_9
247,IFMP,sv_77
321,L2TP,sv_92
809,WB-MON,sv_42
381,ISIS over IPv4,sv_31
301,CBT,sv_14
1014,RVD,sv_29
386,MPLS-in-IP,sv_76
694,SPS,sv_92
227,MPLS-in-IP,sv_40
781,ARIS,sv_71
421,WESP,sv_42
951,BBN-RCC-MON,sv_90
779,VINES,sv_5
54,AH,sv_28
555,PNNI,sv_22
953,Reserved,sv_64
463,IPv6-Opts,sv_82
436,IPPC,sv_9
499,XNET,sv_14
872,FC,sv_26
837,VINES,sv_21
322,DSR,sv_32
346,TRUNK-1,sv_62
828,BBN-RCC-MON,sv_69
70,BR-SAT-MON,sv_33
934,IRTP,sv_7
400,RSVP-E2E-IGNORE,sv_34
97,GMTP,sv_52
84,SCPS,sv_28
619,CRUDP,sv_80
270,VMTP,sv_93
623,ISIS over IPv4,sv_37
232,ISO-IP,sv_68
660,Compaq-Peer,sv_5
777,IPv6-ICMP,sv_56
945,ICMP,sv_81
28,ETHERIP,sv_17
384,BR-SAT-MON,sv_86
582,DCCP,sv_99
547,I-NLSP,sv_55
987,SMP,sv_36
89,IPv4,sv_55
423,FC,sv_30
1003,WB-MON,sv_10
282,VMTP,sv_4
533,ST,sv_69
745,WB-EXPAK,sv_57
747,IPComp,sv_79
609,TCP,sv_74
267,MUX,sv_86
730,PIPE,sv_35
844,IATP,sv_32
767,QNX,sv_61
940,AH,sv_53
653,MERIT-INP,sv_96
65,ISIS over IPv4,sv_46
621,manet,sv_46
445,SAT-MON,sv_42
750,MPLS-in-IP,sv_26
681,,sv_62
953,IPv6-Route,sv_54
854,MICP (deprecated),sv_66
21,ICMP,sv_61
944,MUX,sv_84
14,I-NLSP,sv_99
714,UDPLite,sv_91
308,IPX-in-IP,sv_24
632,MUX,sv_58
831,ISO-TP4,sv_16
704,ICMP,sv_45
428,ENCAP,sv_84
849,BIT-EMU,sv_74
141,XNS-IDP,sv_13
947,SDRP,sv_21
476,BR-SAT-MON,sv_91
361,,sv_27
187,Shim6,sv_45
216,PIPE,sv_17
649,RSVP-E2E-IGNORE,sv_60
698,RDP,sv_2
927,IPv6-NoNxt,sv_81
453,L2TP,sv_2
223,NVP-II,sv_45
515,XNET,sv_94
